,contract_address,contract_type
0,0x09115c2d64002f82a794c2527dd55766b7e4d23b,ERC721
1,0x209e57b9393b5b438119400405834f448085a484,ERC721
2,0x22647c3573b5945cad0fa28034b9cef46696ee72,ERC721
3,0x3ecfdcc62a7eeeaf56c2bb9ddea8718a4e2c240f,ERC721
4,0x441a838a7a9bdc4f3ba9ecfa9560206463c955f4,ERC721
5,0x4bb28a128136aa7ca3a52967c74d8bedce1f2590,ERC1155
6,0x64312974b53c2a63df9b56c32a9e5e1906468e5e,ERC721
7,0x71a770437a6e8fc5be655e8036219badb1c56ead,ERC721
8,0xb5992cd906b5fbd70a8598ac66253aaa0225de71,ERC721
9,0xbec03acccd2e7719bc223edae7cb95b769efafc9,ERC1155
10,0xcd826b138060cc845dacb57cbada8cbf6d858633,ERC721
11,0xe3673f7543180458b3860cf5596b28531b02f718,ERC721
12,0xe8b2180bb9792f475f754213650636242d25fcb6,ERC721
13,0x071e323731a2c8febb257b3b3f278a00853e56f4,ERC1155
14,0x1dcf7e0fb462c2fb13d78fac2acd840e334382ec,ERC1155
15,0x7104e3dcea3b87c213ce2d8e575abcf133a7a9cd,ERC1155
16,0x3b0179c1e6c9f5bf18ff88aa665492b73ca9cd28,ERC1155
17,0xb474f405f0df84fbe57751af0cb1ae534f5639b5,ERC1155
18,0x4e8d61b5254691658c18c4ad45828189a2c5bd44,ERC721
19,0x8db93c45e5cb4d16d54310758d99951e0dce5bf6,ERC721
20,0x8e690aa450782a4101db723b3050d5bfc2b91ede,ERC721
21,0xcb6a983658ef256ed5a86177105dc43004b0b826,ERC721
22,0xcb94ee6d1f71aa48514838baec69341c45389b8b,ERC721
23,0x019e97c33b9464d627417e732b983a97c320101e,ERC721
24,0xea661baabc75723d0bdbbf51691f9be1e9425dfe,ERC721
25,0xf0ba681856fbe6dd449a76ba5e99e81e8a8f91d7,ERC721
26,0xdc851d5925d667ee00300b447ee13afc1f4ad351,ERC721
27,0x7d0c88a741808189a922def0930a9c704b0e6ecb,ERC721
28,0x80da7fe8d662ecd0bbd1ce6fffbb0626751008b9,ERC721
29,0xfe587e496a5a77cdcfaa0f56192106823f9962a3,ERC721
30,0xccb7931e09056a46b86f1e2214436b1fcb48ae0d,ERC721
31,0xcfec6b643f0a9e2c4dfdf525b5ad4b6a4a51f7ae,ERC721
32,0xaa3ccbf1836210b6d8868f2d0f1f1d48f6843ca6,ERC721
33,0x065bfbcbb36c7f5a44fa19dec4f82f5ae72a5f14,ERC1155
34,0x24a4671c7332a0795a8f8f2b1d9d43a992bbadcf,ERC1155
35,0x10cb1e817fffaff545d42197b2bff2ef94c27f03,ERC1155
36,0x12172d410c4eb8dce78f45206c2a3bc464970b8a,ERC1155
37,0x1af03dfcd4e94ea33cd9fdf59dc0da8696b4facb,ERC1155
38,0x45fb7eb838ffaacb452e6115851408cccee33adb,ERC1155
39,0x6a85f7c0cea960ce4e5a317d095afa37758978c8,ERC1155
40,0x6bf9829c2bae78ef38d6f7b7b38f6e90a12a8fd5,ERC721
41,0x6fe1a454a18f0eb51e2891b0b448a51bc17c61c8,ERC721
42,0x7000f5d61e9bfb8d289d73a586f18771bac598a3,ERC1155
43,0x7110f5418f7d97dfe6bbebaf77c9b4635753b357,ERC1155
44,0x0af50ec6567c2e721d616b61c46cfd038a2ca9f3,ERC721
45,0x78f87fb896044e2329c546e9d1fdbf1b8ea6e2da,ERC1155
46,0xdcc7dd74cb7d593b12a7866b3d3a222f6d85bf36,ERC1155
47,0xddc2daf48ab4d2a27a9885e8ce7bf42e756e7be4,ERC1155
48,0xd8b504a084540ce8c1a2f6addff01f8061f0b588,ERC1155
49,0x57f345d0ef0f3b9755c0c9bd9087e7fe2f43cc86,ERC1155
50,0x53faefd0e35fb3f2d7e5d13994175cd9bb35d563,ERC1155
51,0x9fe9ecac922f22be968bb66ba21c0953e091e780,ERC1155
52,0xa0864db82dc03b952b6a4480df7604582e27edca,ERC1155
53,0x94bd2405dca2cbafa7de57de36d2f3910a906daa,ERC1155
54,0xf0667e85c67c3998865e4afa36c0da5acfbb6edf,ERC1155
55,0xe8620e182f2260b4af50101752f3b27016401a27,ERC1155
56,0xfa867dd8ee5e57579bc51879f4d25853e722750a,ERC1155
57,0x9ec22400b3744d26e8f8f97e96e8aae3de63f81d,ERC721
58,0x9e6c9497d4691c69750b64d0423d1931571dc52a,ERC721
59,0x942d38e65ecbda91eec922a68078c266029e9a7d,ERC721
60,0xa38c5d88cef5b0c7b1350111d92fdc92c5a94fdf,ERC1155
61,0x8f206a3ebc049e1ed21df41d738c1dbae3a1f271,ERC721
62,0x37e39659c00021ee99aadeae81616fce6d12cfdf,ERC721
63,0x76e8579474c5fcca5a24dd3358cec8e71b1dc8f4,ERC1155
64,0x1312dd389b08a8a5a60b0b058921386a13699267,ERC721
65,0xf82b5fdf5cb4c3f3fbe7adc46bc026581809734d,ERC1155
66,0xf7fc04ab97d1fe3f4a21b96b9f8119726de5d643,ERC721
67,0xafdefc251e1892a3fe412e140d729f020caab07c,ERC1155
68,0xb50a8aaf2a62a3cc2f72131e6709738fd2577a0f,ERC721
69,0xa0a5df7d02cbb54d7339ddd3171ae8ad9fa988be,ERC1155
70,0x15b06f2bb2d424c03c697fc38d2af27c81381d54,ERC721
71,0x1ca30ebf6fbeccb9d02b0b50db5270fad917178f,ERC1155
72,0x1cce34a3c05d04d844c14431e0cf554d8727b042,ERC1155
73,0x4e0b6acea3771783e847562f4cce43b522f8b270,ERC721
74,0x56dd86be7dc6552dd77bf4887682bb83daf246ab,ERC721
75,0x5a6fe003ab1f9a618d6b7479d7b79eef9d760102,ERC1155
76,0x61fef9b5f802f5863dfb7eb92dc44e81df2410df,ERC721
77,0x7b74999500bcd472a8193f34c9f48c64b1993106,ERC721
78,0x865210fed5ee89a113d260a80d7fbf7b85255c11,ERC721
79,0x8868c1e97b0e8f0a9ee83526fc53ca1b9f864dff,ERC721
80,0x8beffb42b91d25554d2f9f38b4c5097988049243,ERC721
81,0x96999f0ead59952d076a21450389646174e32bb0,ERC1155
82,0x92ce41ddb495dcb37387383778331011a444fcce,ERC721
83,0xbe244f1d10a7cd22cc2e403bba5627fc10ce8ca3,ERC1155
84,0xba08d93ec15df479edde9b3769c937298aa3f3f4,ERC721
